"","Warszawa","Wrocław","Kraków","Gdańsk","Szczecin"
"lat",52.2322222222222,51.11,50.0613888888889,54.3475,53.4380555555556
"long",21.0083333333333,17.0222222222222,19.9383333333333,18.6452777777778,14.5422222222222
